index,filename,md5,true_label,pred_label,prob_pred,prob_true,confusion_var,difficulty,prob_class_0,prob_class_1,prob_class_2,prob_class_3,prob_class_4,prob_class_5,prob_class_6,prob_class_7,prob_class_8,prob_class_9
105,00105_1_automobile.png,0533fd6e9a6fad286187d281529fbe6b,1,1,1.0,1.0,0.0,0.0,4.1519218618724096e-10,1.0,7.929610093548867e-12,9.112697575697215e-12,5.228632197346039e-12,1.5786195267653014e-11,4.7099664446381695e-11,2.1764784419175953e-11,1.3501200157861604e-08,1.6922578893741047e-08
328,00328_8_ship.png,4f800bebbe00b36c6b9be340efe8a35a,8,8,1.0,1.0,0.0,0.0,1.9863676925524487e-08,5.446200712633242e-10,2.8594921569480292e-11,1.0418188881033963e-11,2.6553386225924847e-11,4.06481445724971e-12,8.625922892635529e-11,1.6434029484480028e-11,1.0,4.668282427289228e-10
410,00410_8_ship.png,2669a6612910fba81c05721b6d190252,8,8,1.0,1.0,0.0,0.0,8.461140232896014e-09,4.040726420129204e-09,4.436242484473496e-10,8.390660388712945e-11,4.71119976364065e-10,1.3773435170172377e-10,6.739931279753364e-09,7.610713170791428e-10,1.0,7.974427340684542e-09
541,00541_9_truck.png,39ec631887f454a0a1ac5056135c555b,9,9,1.0,1.0,0.0,0.0,1.339831717794837e-10,1.37932465449353e-08,3.4299410642431305e-13,1.6883123371558284e-11,5.0061669897407193e-14,4.607406578656381e-13,1.1847574787546278e-12,2.5265644611194293e-12,1.4758065602915593e-10,1.0
631,00631_8_ship.png,5d00c727e8228be43d23690d4b8d489b,8,8,1.0,1.0,0.0,0.0,5.1508898479823984e-08,2.9381972410646995e-09,9.977030313024216e-11,8.229024232864202e-12,2.947905461403444e-11,8.945941210036779e-12,3.5574671680693726e-11,2.3227340190112855e-11,1.0,4.388284402523368e-09
823,00823_1_automobile.png,ee5fceb45f31e2cd85268d76cf1e5f77,1,1,1.0,1.0,0.0,0.0,2.961906830911687e-10,1.0,3.065985659800319e-11,3.4889719585651235e-11,2.7527858464937438e-11,1.354710094103595e-10,3.143290072671334e-10,2.559457090711703e-10,1.2611462985034905e-08,1.4321002161921115e-08
942,00942_1_automobile.png,78f78de1b73081085eff88f4aaf12b4a,1,1,1.0,1.0,0.0,0.0,2.737806370500806e-10,1.0,1.4124254717196028e-11,1.473609081981131e-11,7.520044482955957e-12,3.798594425119539e-11,4.7842653450036465e-11,2.623472099283486e-11,1.8471631335614802e-08,2.8416305752898552e-08
1392,01392_8_ship.png,3e791ef7bfc612742a98819a8285a64b,8,8,1.0,1.0,0.0,0.0,1.3291782785529449e-08,8.88786877428771e-10,4.6941641546061064e-11,5.4007219703333664e-12,3.015315774845817e-11,6.4560795945411975e-12,1.135864319268265e-11,1.0672168010428251e-11,1.0,2.175592372921642e-09
1906,01906_9_truck.png,85d7997b37b170642f8c3f276e857a95,9,9,1.0,1.0,0.0,0.0,7.4292620666494e-11,1.3632368123239758e-08,2.6835941780399553e-13,2.7497353352612386e-12,4.8252593869320404e-14,2.883192003286933e-13,6.52882858453302e-13,3.0029342727722064e-12,7.220616465852814e-11,1.0
2469,02469_1_automobile.png,6829930984c459f71f7d91ca80bc33c6,1,1,1.0,1.0,0.0,0.0,9.296032693617562e-11,1.0,3.897643492678515e-12,1.463331842851967e-12,2.275314702274156e-12,4.545721438153905e-12,1.0212045618851473e-11,1.09031221551259e-11,2.3626297362966397e-08,2.465273984952887e-09
2592,02592_8_ship.png,0d35221ad4c66bcf5d4ee62a669bec8a,8,8,1.0,1.0,0.0,0.0,1.4645172574656584e-10,1.485152625879671e-11,1.153016267532725e-12,6.159347120879288e-14,1.978052460325716e-13,1.558626274919539e-13,3.5604570507163924e-13,9.630462388925815e-14,1.0,1.760801747463514e-11
2684,02684_6_frog.png,3065dcf8e8a130a647a790d8662aaa25,6,6,1.0,1.0,0.0,0.0,5.4323791992549886e-11,2.1781280945543102e-10,1.8548949043406537e-08,1.960092976815986e-09,4.809235787384125e-10,6.954486431176576e-10,1.0,1.3157044898015613e-11,9.999596706222746e-09,1.865792589872406e-11
2820,02820_8_ship.png,6a2acd125374928429f4731fe8545b77,8,8,1.0,1.0,0.0,0.0,5.2304379494216846e-08,7.66758156967029e-10,3.6823719073986183e-10,1.0764782815142482e-10,1.8286766545472233e-10,3.268378276355399e-11,1.2435978635760847e-10,9.142837875675269e-11,1.0,1.1105763420005133e-08
3058,03058_8_ship.png,6464f97fba0f2dd9ad13c457fa88b35c,8,8,1.0,1.0,0.0,0.0,2.506281226999363e-08,1.4738635867317385e-09,9.374840487241798e-11,2.6604588324041778e-11,2.7818688325131902e-11,2.1448166159787618e-11,3.9552961600408665e-11,1.3043829037717725e-11,1.0,4.945580056592291e-10
3719,03719_9_truck.png,256bb5d0c66c491a472cb73279f597da,9,9,1.0,1.0,0.0,0.0,4.910913342648371e-10,5.6434480200096004e-08,6.99089354114224e-12,4.621387994507842e-11,1.6384569482413847e-12,7.458676905269801e-12,1.0945691401864632e-11,2.033593952954771e-11,1.0532845706734406e-09,1.0
3817,03817_7_horse.png,b9301bdc48cdd13e29cb536f8bee20c7,7,7,1.0,1.0,0.0,0.0,1.4662097314044331e-08,1.193620480233193e-10,1.4753084864871369e-10,2.705543566960955e-10,5.55740342633726e-09,2.2322897308413303e-08,5.0047521682472507e-11,1.0,2.643081309372519e-10,8.523448613573237e-10
3838,03838_9_truck.png,127f52e34f6392c082d90d3f050f8af6,9,9,1.0,1.0,0.0,0.0,4.891202460416411e-12,4.7061643471124626e-09,6.808406106690451e-14,1.7743632626555927e-13,9.62616013918012e-15,3.801777618303408e-14,1.453370437236659e-13,2.758007038895782e-13,7.45314851502421e-11,1.0
3860,03860_8_ship.png,bd272efe3cee853d3372452e4f007121,8,8,1.0,1.0,0.0,0.0,3.12349897058084e-08,2.3799420212355926e-09,2.1430182628456862e-10,3.990045099877548e-11,2.222223655090616e-10,2.962989922861148e-11,1.0127735317055908e-09,1.0470566774722911e-10,1.0,1.654216652546836e-09
3861,03861_6_frog.png,9b04e913aa9e6d1ce4e43b75f8dac839,6,6,1.0,1.0,0.0,0.0,1.0436172759309414e-10,6.952679404426121e-11,3.3720876757570295e-08,1.0648794068757184e-09,1.5442008782784455e-09,3.5380956497910176e-10,1.0,2.1347682302441662e-11,1.1124690058039732e-09,6.165726956774975e-11
3885,03885_8_ship.png,5626db8691cea0c41b77bd6157cee465,8,8,1.0,1.0,0.0,0.0,1.68453553328618e-08,2.5473328335579026e-08,1.356393469764683e-10,5.348793630233217e-10,2.898880469004439e-09,4.0001360557262444e-10,7.722241512908568e-09,2.2096044993702435e-09,1.0,1.13829079495531e-08
3912,03912_6_frog.png,e02f8ce048a3cd0847885f823d2634a7,6,6,1.0,1.0,0.0,0.0,2.595308690178655e-10,2.959485545517282e-09,1.304479368968714e-08,5.3186122173087824e-09,8.772104820309323e-09,2.5859414609641362e-09,1.0,1.3716834612598205e-10,1.538712623982974e-08,2.5872473607968516e-10
4037,04037_7_horse.png,65c74622bf372c75a96f5b600f7aa352,7,7,1.0,1.0,0.0,0.0,3.53854751056204e-10,1.562010828841387e-12,8.168666437713412e-11,5.345952847068958e-12,2.550047673022249e-10,1.0822968077306427e-09,2.3901555647881656e-12,1.0,4.544022710190054e-12,3.685012017751177e-11
4860,04860_8_ship.png,3added82d578f9dcc7f17064eb4cf6b8,8,8,1.0,1.0,0.0,0.0,2.129923437621528e-08,1.548617234448102e-08,8.385700467350432e-11,1.703346491632729e-11,1.2863788159678258e-11,1.119030996338255e-11,3.4304303841992123e-10,1.7527901005620627e-11,1.0,2.550598621198219e-09
4883,04883_7_horse.png,7b067c129c89d008e44c3e229673e3e4,7,7,1.0,1.0,0.0,0.0,7.529668000216816e-10,3.9299164616979354e-11,2.6180432821654165e-11,7.942901544821801e-12,2.701079804268147e-09,1.3604879445239249e-09,2.019481804005352e-11,1.0,2.2140360725342312e-11,6.818605402525435e-11
4917,04917_1_automobile.png,4f98c832b0543140ece3da9187e053f8,1,1,1.0,1.0,0.0,0.0,4.4791687719980544e-11,1.0,4.7768408152626396e-12,9.869877484747214e-12,2.6546889686507313e-12,1.768624309506084e-11,6.978719685468704e-11,1.0266240114964464e-11,2.9291045144930195e-09,4.1382066662265515e-09
4979,04979_8_ship.png,7eab0a163bd81781e2e5731cb85ccd7a,8,8,1.0,1.0,0.0,0.0,3.725446617863781e-09,1.3524706687917387e-08,4.7143528664195244e-11,5.78130390782583e-11,1.987190620389434e-11,2.047324462739475e-11,1.1457833570815978e-09,2.8624280029587723e-11,1.0,3.603339293611896e-10
